,Unnamed: 0,group,file,guid_count,body
5799,694,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМР УДС ОБП ВЖК 30.11.2018.xlsb,1,['идентификатор guid ']
5800,695,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка_СМГ_ обустройство АРГОС 30.11.2018 (проект 1376).xlsb,1,['идентификатор guid ']
5801,696,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка_СМГ_ обустройство АРГОС 30.11.2018 (проект 29-16).xlsb,1,['идентификатор guid ']
5802,685,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ_энергетика Премьерстрой_30.11.2018 (проект 108)..xlsb,1,['идентификатор guid ']
5803,697,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка_СМГ_ обустройство АРГОС 30.11.2018 (проект 853).xlsb,1,['id']
5804,699,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка_СМГ_ обустройство АРГОС 30.11.2018 (фаза-2 К301).xlsb,1,['идентификатор guid ']
5805,701,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\12. Декабрь\28.12.2018\Сводка СМГ по Обустройству_Евракор_28.12.2018 (проект 108.17).xlsb,1,['идентификатор guid ']
5806,702,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\12. Декабрь\28.12.2018\Сводка СМГ по Обустройству_Евракор_28.12.2018 (проект 1376).xlsb,1,['идентификатор guid ']
5807,703,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\12. Декабрь\28.12.2018\Сводка СМГ по Обустройству_Евракор_28.12.2018 (проект 2916).xlsb,1,['идентификатор guid ']
5808,704,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\12. Декабрь\28.12.2018\Сводка СМГ по Обустройству_Евракор_28.12.2018 (проект 866).xlsb,1,['идентификатор guid ']
5809,705,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\12. Декабрь\28.12.2018\Сводка СМГ по Обустройству_Премьерстрой_28.12.2018  (Проект 1376).xlsb,1,['идентификатор guid ']
5810,706,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\12. Декабрь\28.12.2018\Сводка СМГ по Обустройству_Премьерстрой_28.12.2018 (проект 2916).xlsb,1,['идентификатор guid ']
5811,707,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\12. Декабрь\28.12.2018\Сводка СМГ по Обустройству_Премьерстрой_28.12.2018 (проект 866).xlsb,1,['идентификатор guid ']
5812,698,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка_СМГ_ обустройство АРГОС 30.11.2018 (проект 866).xlsb,1,['идентификатор guid ']
5813,684,СМГ Мессояха,"СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ_энергетика Еврокор_ПС9, ВЛ35(проект 1375) 30.11.2018.xlsb",1,['идентификатор guid ']
5814,683,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ по проекту КС с УПГ_Премьерстрой_30.11.2018.xlsb,1,['идентификатор guid ']
5815,682,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ по проекту Газопровод_Евракор_30.11.2018.xlsb,1,['идентификатор guid ']
5816,659,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМГ_энергетика Премьерстрой_на 31.10.2018 (проект 866)..xlsb,1,['идентификатор guid ']
5817,660,СМГ Мессояха,"СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМР МНГИ База ГСМ, 2,3 этап 31.10.2018.xlsb",1,['идентификатор guid ']
5818,664,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМР ПремьерСтрой ОБП РЭБ СП УЭЦН 31.10.2018.xlsb,1,['идентификатор guid ']
5819,665,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\10. Октябрь\31.10.2018\Сводка СМР ПремьерСтрой ППиТБО 31.10.2018.xlsb,1,['идентификатор guid ']
