,group,file,guid_count,body
4634,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 26.12.16\СМГ Ш- ВКС-СПС 26.12.2016г проверил инженер НТН Семянников К В.xlsx,0,
4633,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 26.12.16\СМГ ЗЛМ-ВКС-СПС 26.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4632,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 26.12.16\СМГ Газопровод ВИГАС 26.12.16 г.Проверил инженер НТН Семянников К.В.xlsx,0,
4631,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 25.12.16\СМГ Ш-ГКС-СПС 25.12.2016г проверил инженер НТН Ерошев А.С..xlsx,0,
4630,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 25.12.16\СМГ Ш- ВКС-СПС 25.12.2016г проверил инженер НТН Семянников К.В.xlsx,0,
4629,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 25.12.16\СМГ ЗЛМ-ВКС-СПС 25.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4694,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2017\2017_01\смг к отчетам 15.01.17\СМГ Ш- ВКС-СПС 15.01.2017г проверил инженер НТН Семянников К В.xlsx,0,
4628,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 25.12.16\СМГ Газопровод ВИГАС 25.12.16 г.Проверил инженер НТН Семянников К.В.xlsx,0,
4626,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 24.12.16\СМГ Ш- ВКС-СПС 24.12.2016г проверил инженер НТН Семянников К.В.xlsx,0,
4625,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 24.12.16\СМГ ЗЛМ-ВКС-СПС 24.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4624,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 24.12.16\СМГ Газопровод ВИГАС 24.12.16 г.Проверил инженер НТН Семянников К.В.xlsx,0,
4623,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 23.12.16\СМГ Ш-ГКС-СПС 23.12.2016г проверил инженер НТН Ерошев А.С..xlsx,0,
4622,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 23.12.16\СМГ Ш- ВКС-СПС 23.12.2016г проверил инженер НТН Семянников К.В.xlsx,0,
4621,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 23.12.16\СМГ ЗЛМ-ВКС-СПС 23.12.2016г Проверил инженер НТН Крухов СА..xlsx,0,
4620,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 23.12.16\СМГ Газопровод ВИГАС 23.12.16 г.Проверил инженер НТН Семянников К.В.xlsx,0,
4619,Томский интегрированный проект,Томский интегрированный проект\\Ежесуточная\Ежесуточная\Недельно (суточный)-месячный план-график\2016_12\смг к отчетам 22.12.16\СМГ Ш-ГКС-СПС 22.12.2016г проверил инженер НТН Ерошев А.С..xlsx,0,
